Player,Team,Salary
Trey Burke,WAS,3386598
Tomas Satoransky,WAS,2870813
Sheldon McClellan,WAS,543471
Otto Porter,WAS,5893981
Martell Webster,WAS,830000
Markieff Morris,WAS,7400000
Marcin Gortat,WAS,12000000
Kelly Oubre,WAS,2006640
John Wall,WAS,16957900
Jason Smith,WAS,5000000
Jarell Eddie,WAS,175000
Ian Mahinmi,WAS,15944154
Danuel House,WAS,543471
Daniel Ochefu,WAS,543471
Chris McCullough,WAS,1191480
Brandon Jennings,WAS,1200000
Bradley Beal,WAS,22116750
Bojan Bogdanovic,WAS,3730653
Trey Lyles,UTA,2340600
Shelvin Mack,UTA,2433334
Rudy Gobert,UTA,2121288
Rodney Hood,UTA,1406520
Raul Neto,UTA,937800
Joel Bolomboy,UTA,600000
Joe Johnson,UTA,11000000
Joe Ingles,UTA,2250000
Jeff Withey,UTA,1015696
Henry Sims,UTA,75000
Gordon Hayward,UTA,16073140
George Hill,UTA,8000000
Derrick Favors,UTA,11050000
Dante Exum,UTA,3940320
Boris Diaw,UTA,7000000
Alec Burks,UTA,10154495
Serge Ibaka,TOR,12250000
Patrick Patterson,TOR,6050000
Pascal Siakam,TOR,1196040
P.J. Tucker,TOR,5300000
Norman Powell,TOR,874636
Lucas Nogueira,TOR,1921320
Kyle Lowry,TOR,12000000
Jonas Valanciunas,TOR,14382022
Jarrod Uthoff,TOR,50000
Jakob Poeltl,TOR,2703960
Fred VanVleet,TOR,543471
DeMarre Carroll,TOR,14200000
DeMar DeRozan,TOR,26540100
Delon Wright,TOR,1577280
Cory Joseph,TOR,7330000
Bruno Caboclo,TOR,1589640
Tony Parker,SAS,14445313
Tim Duncan,SAS,1881250
Pau Gasol,SAS,15500000
Patty Mills,SAS,3578948
Patricio Garino,SAS,100000
Nicolas Laprovittola,SAS,210995
Manu Ginobili,SAS,14000000
LaMarcus Aldridge,SAS,20575005
Kyle Anderson,SAS,1192080
Kawhi Leonard,SAS,17638063
Jonathon Simmons,SAS,874636
Joel Anthony,SAS,663810
Dewayne Dedmon,SAS,2898000
Dejounte Murray,SAS,1180080
Davis Bertans,SAS,543471
David Lee,SAS,1551659
Danny Green,SAS,10000000
Bryn Forbes,SAS,543471
Willie Cauley-Stein,SAC,3551160
Wayne Ellington,SAC,923670
Tyreke Evans,SAC,10661286
Ty Lawson,SAC,1315448
Skal Labissiere,SAC,1188840
Rudy Gay,SAC,13333333
Matt Barnes,SAC,6125000
Malachi Richardson,SAC,1439880
Langston Galloway,SAC,5200000
Lamar Patterson,SAC,100000
Kosta Koufos,SAC,8046500
Jordan Farmar,SAC,82979
Georgios Papagiannis,SAC,2202240
Garrett Temple,SAC,8000000
Darren Collison,SAC,5229454
Caron Butler,SAC,517220
Buddy Hield,SAC,3517200
Ben McLemore,SAC,4008882
Arron Afflalo,SAC,12500000
Anthony Tolliver,SAC,8000000
Shabazz Napier,POR,1350120
Pat Connaughton,POR,874636
Noah Vonleh,POR,2751360
Meyers Leonard,POR,9213484
Maurice Harkless,POR,8988764
Jusuf Nurkic,POR,1921320
Jake Layman,POR,600000
Festus Ezeli,POR,7400000
Evan Turner,POR,16393443
Ed Davis,POR,6666667
Damian Lillard,POR,24328425
C.J. McCollum,POR,3219579
Anderson Varejao,POR,1984005
Allen Crabbe,POR,18500000
Al-Farouq Aminu,POR,7680965
Tyson Chandler,PHO,12415000
Tyler Ulis,PHO,918369
T.J. Warren,PHO,2128920
Ronnie Price,PHO,465143
Mike Scott,PHO,3333334
Michael Beasley,PHO,777777
Marquese Chriss,PHO,2941440
Leandro Barbosa,PHO,4000000
John Jenkins,PHO,469841
Jarell Eddie,PHO,102898
Jared Sullinger,PHO,5628000
Jared Dudley,PHO,10470000
Eric Bledsoe,PHO,14000000
Elijah Millsap,PHO,23069
Dragan Bender,PHO,4276320
Devin Booker,PHO,2223600
Derrick Jones,PHO,543471
Brandon Knight,PHO,12606250
Archie Goodwin,PHO,2094089
Alex Len,PHO,4823621
Alan Williams,PHO,874636
Timothe Luwawu-Cabarrot,PHI,1326960
Tibor Pleiss,PHI,3000000
Tiago Splitter,PHI,8550000
T.J. McConnell,PHI,874636
Shawn Long,PHI,96969
Sergio Rodriguez,PHI,8000000
Sasha Kaun,PHI,1333420
Robert Covington,PHI,1015696
Richaun Holmes,PHI,1025831
Nik Stauskas,PHI,2993040
Justin Harper,PHI,57672
Justin Anderson,PHI,1514160
Joel Embiid,PHI,4826160
Jerryd Bayless,PHI,9424084
Jahlil Okafor,PHI,4788840
Hollis Thompson,PHI,442126
Gerald Henderson,PHI,9000000
Elton Brand,PHI,1000000
Dionte Christmas,PHI,50000
Dario Saric,PHI,2318280
Chasson Randle,PHI,297311
Carl Landry,PHI,6500000
Andrew Bogut,PHI,11027027
Alex Poythress,PHI,38903
Terrence Ross,ORL,10000000
Stephen Zimmerman,ORL,950000
Patricio Garino,ORL,31969
Nikola Vucevic,ORL,11750000
Mario Hezonja,ORL,3909840
Marcus Georges-Hunt,ORL,31969
Jodie Meeks,ORL,6540000
Jeff Green,ORL,15000000
Evan Fournier,ORL,17000000
Elfrid Payton,ORL,2613600
Damjan Rudez,ORL,980431
D.J. Augustin,ORL,7250000
C.J. Wilcox,ORL,1209680
C.J. Watson,ORL,5000000
Bismack Biyombo,ORL,17000000
Arinze Onuaku,ORL,440078
Anthony Brown,ORL,51449
Aaron Gordon,ORL,4351320
Victor Oladipo,OKC,6552960
Taj Gibson,OKC,8950000
Steven Adams,OKC,3140517
Semaj Christon,OKC,543471
Russell Westbrook,OKC,26540100
Ronnie Price,OKC,2557545
Reggie Williams,OKC,50000
Norris Cole,OKC,247991
Nick Collison,OKC,3750000
Mitch McGary,OKC,1526040
Kyle Singler,OKC,4837500
Josh Huestis,OKC,1191480
Jerami Grant,OKC,980431
Enes Kanter,OKC,17145838
Doug McDermott,OKC,2483040
Domantas Sabonis,OKC,2440200
Chris Wright,OKC,100000
Andre Roberson,OKC,2183072
Alex Abrines,OKC,5994764
Willy Hernangomez,NYK,1375000
Sasha Vujacic,NYK,1410598
Ron Baker,NYK,543471
Mindaugas Kuzminskas,NYK,2898000
Maurice Ndour,NYK,543471
Marshall Plumlee,NYK,543471
Lou Amundson,NYK,1551659
Lance Thomas,NYK,6191000
Kristaps Porzingis,NYK,4317720
Justin Holiday,NYK,1015696
Joakim Noah,NYK,17000000
Derrick Rose,NYK,21323250
Courtney Lee,NYK,11242000
Chasson Randle,NYK,243860
Carmelo Anthony,NYK,24559380
Brandon Jennings,NYK,4837318
Wayne Selden,NOH,31969
Tim Frazier,NOH,2090000
Terrence Jones,NOH,1050961
Solomon Hill,NOH,11241218
Reggie Williams,NOH,252676
