,Player,Salary
0,Stephen Curry,"$48,070,014"
1,John Wall,"$47,345,760"
2,Russell Westbrook,"$47,080,179"
3,LeBron James,"$44,474,988"
4,Kevin Durant,"$44,119,845"
5,Bradley Beal,"$43,279,250"
6,Kawhi Leonard,"$42,492,492"
7,Paul George,"$42,492,492"
8,Giannis Antetokounmpo,"$42,492,492"
9,Damian Lillard,"$42,492,492"
10,Klay Thompson,"$40,600,080"
11,Kyrie Irving,"$38,917,057"
12,Rudy Gobert,"$38,172,414"
13,Khris Middleton,"$37,984,276"
14,Anthony Davis,"$37,980,720"
15,Jimmy Butler,"$37,653,300"
16,Tobias Harris,"$37,633,050"
17,Kemba Walker,"$37,281,261"
18,Trae Young,"$37,096,500"
19,Zach LaVine,"$37,096,500"
20,Luka Doncic,"$37,096,500"
21,Ben Simmons,"$35,448,672"
22,Pascal Siakam,"$35,448,672"
23,Myles Turner,"$35,096,500"
24,Jrue Holiday,"$34,319,520"
25,Karl-Anthony Towns,"$33,833,400"
26,Devin Booker,"$33,833,400"
27,Kristaps Porzingis,"$33,833,400"
28,Andrew Wiggins,"$33,616,770"
29,Joel Embiid,"$33,616,770"
30,CJ McCollum,"$33,333,333"
31,Nikola Jokic,"$33,047,803"
32,James Harden,"$33,000,000"
33,Jamal Murray,"$31,650,600"
34,Brandon Ingram,"$31,650,600"
35,D'Angelo Russell,"$31,377,750"
36,Donovan Mitchell,"$30,913,750"
37,Michael Porter,"$30,913,750"
38,Shai Gilgeous-Alexander,"$30,913,750"
39,Deandre Ayton,"$30,913,750"
40,Kevin Love,"$30,556,968"
41,Jayson Tatum,"$30,351,780"
42,Bam Adebayo,"$30,351,780"
43,De'Aaron Fox,"$30,351,780"
44,Gordon Hayward,"$30,075,000"
45,Jaylen Brown,"$29,776,785"
46,Jaren Jackson Jr,"$28,946,605"
47,Chris Paul,"$28,400,000"
48,Kyle Lowry,"$28,333,334"
49,Jalen Brunson,"$27,733,332"
50,DeMar DeRozan,"$27,300,000"
51,Al Horford,"$26,500,000"
52,Draymond Green,"$25,806,468"
53,Julius Randle,"$23,760,000"
54,John Collins,"$23,500,000"
55,Mike Conley,"$22,680,000"
56,Malcolm Brogdon,"$22,600,000"
57,Anfernee Simons,"$22,321,429"
58,Nikola Vucevic,"$22,000,000"
59,Terry Rozier,"$21,486,316"
60,Fred VanVleet,"$21,250,000"
61,Buddy Hield,"$21,177,750"
62,Domantas Sabonis,"$21,100,000"
63,Jerami Grant,"$20,955,000"
64,Aaron Gordon,"$20,690,909"
65,Mikal Bridges,"$20,100,000"
66,Jarrett Allen,"$20,000,000"
67,Nicolas Batum,"$19,700,319"
68,Tim Hardaway Jr,"$19,602,273"
69,Eric Gordon,"$19,568,360"
70,Bojan Bogdanovic,"$19,550,000"
71,Lonzo Ball,"$19,534,884"
72,Spencer Dinwiddie,"$19,500,000"
73,Danilo Gallinari,"$19,479,000"
74,Caris LeVert,"$18,796,296"
75,Joe Harris,"$18,642,857"
76,Harrison Barnes,"$18,352,273"
77,Clint Capela,"$18,206,896"
78,Bogdan Bogdanovic,"$18,000,000"
79,Evan Fournier,"$18,000,000"
80,Steven Adams,"$17,926,829"
81,Jonathan Isaac,"$17,400,000"
82,OG Anunoby,"$17,357,143"
83,Gary Trent Jr,"$17,280,000"
84,Marcus Smart,"$17,207,142"
85,Derrick White,"$17,142,857"
86,Dejounte Murray,"$17,071,120"
87,Mitchell Robinson,"$17,045,454"
88,Duncan Robinson,"$16,902,000"
89,Norman Powell,"$16,758,621"
90,Collin Sexton,"$16,700,000"
91,Markelle Fultz,"$16,500,000"
92,Lauri Markkanen,"$16,475,454"
93,Marcus Morris,"$16,372,093"
94,Davis Bertans,"$16,000,000"
95,Jusuf Nurkic,"$15,625,000"
96,Malik Beasley,"$15,558,035"
97,Luguentz Dort,"$15,277,778"
98,Will Barton,"$15,059,712"
99,Tyus Jones,"$15,000,000"
100,Jonas Valanciunas,"$14,700,000"
101,Derrick Rose,"$14,520,730"
102,Kevin Huerter,"$14,508,929"
103,Christian Wood,"$14,317,459"
104,Wendell Carter,"$14,150,000"
105,Kentavious Caldwell-Pope,"$14,004,703"
106,Brook Lopez,"$13,906,976"
107,Patrick Beverley,"$13,801,614"
108,Doug McDermott,"$13,750,000"
109,Luke Kennard,"$13,745,455"
110,Zion Williamson,"$13,534,817"
111,Jordan Clarkson,"$13,340,000"
112,Gary Harris,"$13,000,000"
113,Kyle Kuzma,"$13,000,000"
114,Josh Hart,"$12,960,000"
115,Dorian Finney-Smith,"$12,939,848"
116,Kelly Olynyk,"$12,804,878"
117,Chris Boucher,"$12,690,000"
118,Kelly Oubre,"$12,600,000"
119,Marvin Bagley,"$12,500,000"
120,Robert Covington,"$12,307,692"
121,Josh Richardson,"$12,196,094"
122,Ja Morant,"$12,119,440"
123,Danny Green,"$11,710,528"
124,Devonte Graham,"$11,550,000"
125,Terrence Ross,"$11,500,000"
126,Reggie Jackson,"$11,457,217"
127,Dillon Brooks,"$11,400,000"
128,Richaun Holmes,"$11,215,260"
129,Dwight Powell,"$11,080,125"
130,Paolo Banchero,"$11,055,120"
131,RJ Barrett,"$10,900,634"
132,Bobby Portis,"$10,843,350"
133,DeAndre Jordan,"$10,733,758"
134,Anthony Edwards,"$10,733,400"
135,Robert Williams,"$10,714,287"
136,Cade Cunningham,"$10,552,800"
137,PJ Tucker,"$10,490,000"
138,Derrick Favors,"$10,350,803"
139,Mo Bamba,"$10,300,000"
140,Talen Horton-Tucker,"$10,260,000"
141,Jae Crowder,"$10,183,800"
142,Ivica Zubac,"$10,123,457"
143,Reggie Bullock,"$10,012,800"
144,Alec Burks,"$10,012,800"
145,Chet Holmgren,"$9,891,240"
146,De'Andre Hunter,"$9,835,881"
147,Larry Nance Jr,"$9,672,727"
148,James Wiseman,"$9,603,360"
149,Landry Shamet,"$9,500,000"
150,Malik Monk,"$9,472,219"
151,Jalen Green,"$9,441,840"
152,Jakob Poeltl,"$9,398,148"
153,Nerlens Noel,"$9,391,069"
154,Nicolas Claxton,"$9,350,000"
155,Dario Saric,"$9,240,000"
156,Royce O'Neale,"$9,200,000"
157,Monte Morris,"$9,125,000"
158,Mason Plumlee,"$9,080,417"
159,Alex Caruso,"$9,030,000"
160,Maxi Kleber,"$9,000,000"
161,Grayson Allen,"$8,925,000"
162,Darius Garland,"$8,920,794"
163,Jabari Smith,"$8,882,640"
164,Isaiah Hartenstein,"$8,854,879"
165,Kyle Anderson,"$8,780,488"
166,Victor Oladipo,"$8,750,000"
167,Daniel Theis,"$8,694,369"
168,LaMelo Ball,"$8,623,920"
169,Seth Curry,"$8,496,653"
170,Evan Mobley,"$8,478,720"
171,Gary Payton II,"$8,300,000"
172,Dewayne Dedmon,"$8,283,688"
173,De'Anthony Melton,"$8,250,000"
174,JaMychal Green,"$8,200,000"
175,TJ McConnell,"$8,100,000"
176,Keegan Murray,"$8,008,440"
177,Kevon Looney,"$8,000,000"
178,Thaddeus Young,"$8,000,000"
179,Delon Wright,"$7,804,878"
180,Patrick Williams,"$7,775,400"
181,Scottie Barnes,"$7,644,600"
182,Cedi Osman,"$7,426,088"
183,Coby White,"$7,413,955"
184,Zach Collins,"$7,350,000"
185,Jaden Ivey,"$7,252,200"
186,Taurean Prince,"$7,100,000"
187,Jae'Sean Tate,"$7,065,217"
188,Isaac Okoro,"$7,040,880"
189,Cody Martin,"$7,000,000"
190,Jalen Suggs,"$6,922,320"
191,Jaxson Hayes,"$6,803,012"
192,Khem Birch,"$6,667,500"
193,Bennedict Mathurin,"$6,586,800"
194,Patrick Mills,"$6,479,000"
195,Bruce Brown,"$6,479,000"
196,Lonnie Walker,"$6,479,000"
197,Caleb Martin,"$6,479,000"
198,Joe Ingles,"$6,479,000"
