,Pick,1st Year Salary,2nd Year Salary,3rd Year Option Salary,4th Year Option: Percentage Increased Over 3rd Year Salary,Qualifying Offer: Percentage Increase Over 4th Year Salary
0,1,"$8,375,100","$8,794,000","$9,212,800",26.1%,30.0%
1,2,"$7,493,400","$7,868,200","$8,242,900",26.2%,30.5%
2,3,"$6,729,300","$7,065,600","$7,402,200",26.4%,31.2%
3,4,"$6,067,000","$6,370,500","$6,673,900",26.5%,31.9%
4,5,"$5,494,100","$5,768,600","$6,043,400",26.7%,32.6%
5,6,"$4,990,000","$5,239,500","$5,489,200",26.8%,33.4%
6,7,"$4,555,300","$4,783,200","$5,010,700",27.0%,34.1%
7,8,"$4,173,200","$4,381,900","$4,590,600",27.2%,34.8%
8,9,"$3,836,000","$4,028,000","$4,219,700",27.4%,35.5%
9,10,"$3,644,200","$3,826,400","$4,008,500",27.5%,36.2%
10,11,"$3,462,000","$3,635,200","$3,808,400",32.7%,36.9%
11,12,"$3,289,000","$3,453,600","$3,618,000",37.8%,37.6%
12,13,"$3,124,500","$3,280,800","$3,437,000",42.9%,38.3%
13,14,"$2,968,500","$3,116,800","$3,265,400",48.1%,39.1%
14,15,"$2,819,700","$2,960,700","$3,101,700",53.3%,39.8%
15,16,"$2,678,900","$2,812,800","$2,946,900",53.4%,40.5%
16,17,"$2,544,800","$2,672,100","$2,799,400",53.6%,41.2%
17,18,"$2,417,700","$2,538,500","$2,659,500",53.8%,41.9%
18,19,"$2,308,800","$2,424,200","$2,539,900",54.0%,42.6%
19,20,"$2,216,400","$2,327,200","$2,437,800",54.2%,43.3%
20,21,"$2,127,700","$2,234,200","$2,340,600",59.3%,44.1%
21,22,"$2,042,700","$2,144,800","$2,246,900",64.5%,44.8%
22,23,"$1,961,100","$2,059,300","$2,157,000",69.7%,45.5%
23,24,"$1,882,700","$1,976,800","$2,071,000",74.9%,46.2%
24,25,"$1,807,200","$1,897,500","$1,988,100",80.1%,46.9%
25,26,"$1,747,400","$1,834,600","$1,922,000",80.3%,47.6%
26,27,"$1,696,900","$1,781,800","$1,866,800",80.4%,48.3%
27,28,"$1,686,400","$1,771,000","$1,855,200",80.5%,49.0%
28,29,"$1,674,300","$1,757,900","$1,841,700",80.5%,50.0%
29,30,"$1,662,100","$1,745,100","$1,828,500",80.5%,50.0%
